seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,1,129,0.9991791577444682,0.9918005877844022,0.8,0.016621539369225502,2.5384483337402344
17,1,130,0.9995193174307516,0.9950853928912624,0.8089887640449438,0.01710759848356247,2.736818790435791
17,1,131,0.998941204780621,0.9845297015625463,0.8767123287671232,0.008541451767086983,3.0968668460845947
17,1,132,0.9986951422955586,0.9816265576490996,0.8243243243243243,0.004030440002679825,3.1359641551971436
17,1,133,0.9989940312520958,0.9850250298137614,0.8611111111111112,0.00915843527764082,2.8753113746643066
17,1,134,0.999757570414775,0.9977636084806716,0.7346938775510204,0.01252449955791235,2.651249647140503
17,1,135,0.9969635627530364,0.9146645378946547,0.5,0.0461294986307621,3.5706448554992676
17,1,136,0.9984816853292845,0.9775939306206336,0.8648648648648649,0.008250633254647255,2.744596004486084
17,1,137,0.9995592189359546,0.9957609289984487,0.7346938775510204,0.01677793450653553,2.5663089752197266
17,1,138,0.9981746201076263,0.960138182482255,0.5972222222222222,0.009860559366643429,3.832117795944214
17,1,139,0.9977451265638638,0.9478235426485078,0.5833333333333334,0.007543416228145361,3.5098729133605957
17,1,140,0.9994258006890392,0.995116944304971,0.7058823529411765,0.019159482792019844,2.5622527599334717
17,1,141,0.9999533495055047,0.9995471014492754,0.782608695652174,0.013882744126021862,2.733637809753418
17,1,142,0.9983773450697964,0.9674686543101156,0.6388888888888888,0.008508634753525257,3.502575159072876
17,1,143,0.9991455647040547,0.9898580835416035,0.8554216867469879,0.008634161204099655,2.6231305599212646
17,1,144,0.9993143076564407,0.9916225340681524,0.8625,0.016689559444785118,2.680781364440918
