method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
hybrid-PCG,1,8,0.5192578954971273,2.244835074813593,0.3893645118389811,0.5656997010094273,1.2381074212136722,0.38707485812760534,0.5515360282387259,0.9941195110449034,-0.04644180551230004,1.3428630302544913
hybrid-PCG,2,8,0.5758884264640917,1.9530389404722623,0.22843186397637635,0.600870004880463,1.3231133399974733,0.20413176380541348,0.6774638808161872,0.8936221079320357,-0.024981578416371386,1.3097919485623637
hybrid-PCG,4,8,0.5265770387520534,1.5745192880609207,0.09412791534504361,0.5504411838055219,1.109096999235806,0.08778004268450393,0.7044035647233642,0.9325612105901808,-0.023864145053468455,1.2623448776044148
hybrid-PCG,8,8,0.5110897296009119,0.2361170727915321,0.008394394510540922,0.5106198362163429,0.2027311883089697,0.011143811187101437,0.8586045299992398,1.327530076541917,0.0004698933845690423,1.2075691281032004
hybrid-PCG,16,8,0.5113357206754252,3.0575898263809266e-05,1.2059067655979475e-06,0.5113357206754252,2.4677841805172696e-05,3.4759990110816694e-06,0.807101122336683,2.8824774105634106,0.0,1.1757462699156616
hybrid-PCG,32,8,0.5113357206754252,2.5156728637074404e-05,8.833017135078166e-07,0.5113357206754252,1.931244261280945e-05,8.74677335174635e-07,0.7676849757145285,0.9902362033252127,0.0,1.1119129788585065
hybrid-PCG,48,8,0.5113357206754252,2.5156744344128707e-05,9.151480032612437e-07,0.5113357206754252,1.932939015738285e-05,1.124750887981918e-06,0.768358174371403,1.2290371436901226,0.0,1.1444692514559338
hybrid-PCG,64,8,0.5113357206754252,2.5156688637578223e-05,9.628070373984038e-07,0.5113357206754252,1.933152674162537e-05,1.3785802192922164e-06,0.7684448068713058,1.4318343819102852,0.0,1.1033243985823133
hybrid-PCG,96,8,0.5113357206754252,2.5156653979333677e-05,1.0198145219303137e-06,0.5113357206754252,1.9332057340935792e-05,2.027975348624301e-06,0.7684669573631365,1.9885727306429524,0.0,1.1027507873306708
hybrid-PCG,128,8,0.5113357206754252,2.5156705478455698e-05,1.0109336947667067e-06,0.5113357206754252,1.933227343795959e-05,2.749006003658191e-06,0.768473974245786,2.7192742885996886,0.0,1.0676017788253966
