seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
29,looped-Richardson,256,364035,8,64,32,8,4.91350409865845,564.16796875,1622016
29,looped-Richardson,256,364035,12,144,32,8,5.08833185012918,566.13671875,3667968
29,looped-Richardson,256,364035,16,256,32,8,5.1163272495614365,568.12646484375,6553600
29,looped-Richardson,256,364035,24,576,32,8,5.432691497844644,572.9921875,14893056
29,looped-Richardson,256,364035,32,1024,32,8,5.794759601121768,578.08544921875,26738688
29,looped-Richardson,256,364035,48,2304,32,8,10.026599551201798,585.14208984375,61341696
43,looped-Richardson,256,364035,8,64,32,8,4.876029401202686,564.10546875,1622016
43,looped-Richardson,256,364035,12,144,32,8,5.026729649398476,566.07421875,3667968
43,looped-Richardson,256,364035,16,256,32,8,5.0636443513212726,568.06396484375,6553600
43,looped-Richardson,256,364035,24,576,32,8,5.3935658012051135,574.8046875,14893056
43,looped-Richardson,256,364035,32,1024,32,8,5.718571101897396,577.34326171875,26738688
43,looped-Richardson,256,364035,48,2304,32,8,10.125985200284047,585.72021484375,61341696
17,looped-Richardson,32,31171,8,64,32,8,4.905416301335208,549.68896484375,1622016
17,looped-Richardson,32,31171,12,144,32,8,5.090843449579552,551.65771484375,3667968
17,looped-Richardson,32,31171,16,256,32,8,5.134467751486227,553.6474609375,6553600
17,looped-Richardson,32,31171,24,576,32,8,5.472901550820097,558.47412109375,14893056
17,looped-Richardson,32,31171,32,1024,32,8,5.679817849886604,562.7939453125,26738688
17,looped-Richardson,32,31171,48,2304,32,8,10.227361301076598,570.4912109375,61341696
29,looped-Richardson,32,31171,8,64,32,8,4.90831985080149,559.09765625,1622016
29,looped-Richardson,32,31171,12,144,32,8,5.067147748195566,561.06640625,3667968
29,looped-Richardson,32,31171,16,256,32,8,5.296245848876424,563.05615234375,6553600
29,looped-Richardson,32,31171,24,576,32,8,5.462124198675156,567.921875,14893056
29,looped-Richardson,32,31171,32,1024,32,8,5.796158951125108,573.01513671875,26738688
29,looped-Richardson,32,31171,48,2304,32,8,10.033468500478191,579.93115234375,61341696
