name,class,factor,rank,N,bs,L,final_test_error,output_even_defect,last_layer_active_even_mean,mirror_distance_median,mirror_mismatch_median,mirror_corr_median
rank10_f2_N512_bs16_L2,intermediate,2,10,512,16,2,0.0033454932272434235,0.000504013616591692,0.02773706056177616,0.029647477324581596,0.8385620817280875,0.16613643553225432
rank10_f2_N128_bs1_L2,intermediate,2,10,128,1,2,0.003347917692735791,0.0004611968470271677,0.02234673872590065,0.029647477324581596,0.9204972500978812,0.0824253397687346
rank10_f2_N256_bs1_L1,intermediate,2,10,256,1,1,0.005110275000333786,0.0003059805021621287,0.004059231374412775,0.03161361325278559,0.7017207254985501,0.30615969205403487
rank10_f2_N512_bs2_L1,intermediate,2,10,512,2,1,0.006346828304231167,0.0033562786411494017,3.0919013023376465,0.03161361325278559,1.0280462002372546,-0.028836839068907893
rank10_f2_N256_bs4_L3,intermediate,2,10,256,4,3,0.006688613444566727,0.00040485934005118906,0.0013688504695892334,0.030073436117875003,0.8876242459268352,0.11739031313989537
rank10_f2_N256_bs8_L2,intermediate,2,10,256,8,2,0.008126645348966122,0.0015384850557893515,0.019783848896622658,0.029647477324581596,0.8579198004562243,0.1510548899237149
rank10_f2_N512_bs4_L1,intermediate,2,10,512,4,1,0.008250752463936806,0.0006956500583328307,4.720916271209717,0.03161361325278559,0.8319923661248081,0.17863686727568745
rank10_f2_N512_bs16_L4,intermediate,2,10,512,16,4,0.008480784483253956,0.001428066287189722,0.0005044470308348536,0.029614108333207274,0.9506141094009787,0.050224907933031304
rank10_f2_N256_bs8_L3,intermediate,2,10,256,8,3,0.009843324311077595,0.0006569329416379333,0.001419405685737729,0.030073436117875003,0.9062840344728043,0.09957108664377087
rank10_f2_N256_bs2_L1,underfit,2,10,256,2,1,0.15909793972969055,0.0004776596324518323,3.313945770263672,0.03161361325278559,1.0241390589547248,-0.025062519957353358
rank10_f3_N384_bs2_L2,intermediate,3,10,384,2,2,0.0028716069646179676,0.00021254149032756686,0.506200909614563,0.029647477324581596,0.8950500264681925,0.1106631452288402
rank10_f3_N384_bs1_L2,intermediate,3,10,384,1,2,0.004691611509770155,0.0002912575437221676,0.006870782468467951,0.029647477324581596,0.9531674717786971,0.047179803508409605
