source_file,benchmark,suite,tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag,step,solver,u_mse,u_rel,z_mse_true_basis,A_rel,A0_rel,Abasis_rel_raw,loss,loss_u,loss_prompt,loss_z,loss_A,z_scale,attn_entropy_last,score_corr_linear_kernel_last
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,3500.0,exact,2.6176872225391893e-08,0.0002773446030914,3.3208584785461426,0.0002325220993952,0.0064323362259839,1.0789223909378052,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,3750.0,exact,2.595357528889508e-08,0.000281531305518,3.2469916343688965,0.0002382832026341,0.0064315795583313,1.079038381576538,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,4000.0,exact,2.7946370551035216e-08,0.0002955267846118,3.3924574851989746,0.0002437944640405,0.0064293332629761,1.07917058467865,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,4250.0,exact,2.8171324828463185e-08,0.000294032797683,3.3661794662475586,0.0002481000265106,0.0064270843334429,1.0793250799179075,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,4500.0,exact,3.0466704714626764e-08,0.0003054330591112,3.405545234680176,0.0002584231551736,0.0064238923681581,1.0795035362243652,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,4750.0,exact,3.201884624104423e-08,0.0003020900767296,3.282389879226685,0.0002534139493945,0.0064207155493972,1.0797090530395508,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,5000.0,exact,3.0871945000399144e-08,0.0003050426021218,3.311102390289306,0.0002569749485701,0.0064155262185855,1.0799384117126465,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,5250.0,exact,3.4678436122703715e-08,0.0003242758393753,3.221628427505493,0.0002752250875346,0.0064087267464242,1.0802083015441897,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,5500.0,exact,3.7622960746830365e-08,0.0003411789948586,3.1468966007232666,0.0002975325332954,0.0064011014594358,1.080533742904663,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,5750.0,exact,3.8341916308581865e-08,0.0003401927824597,3.16372299194336,0.0002942273858934,0.0063934827578925,1.0809096097946167,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,6000.0,exact,4.49582415740224e-08,0.0003777524689212,3.160895347595215,0.0003356631495989,0.0063838857886134,1.0813602209091189,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,6250.0,exact,5.38496038871017e-08,0.0004003705398645,3.2109081745147705,0.0003458585124462,0.0063723079174204,1.0819242000579834,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,6500.0,exact,5.5111357255555056e-08,0.0004207456368021,3.181992292404175,0.0003720864770002,0.0063542420656238,1.0826104879379272,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,6750.0,exact,6.586726186696978e-08,0.0004529897705651,3.112229347229004,0.0004079944046679,0.0063320925792632,1.0834205150604248,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,7000.0,exact,7.229695597743557e-08,0.0004704481398221,3.07800555229187,0.0004241485439706,0.0063101511929707,1.0843836069107056,,,,,,,,
